id,State_Name,Mean,Median,Stdev,sum_w
60220229,California,68606,300000,49598,341.8563205
60220239,California,66657,53093,64252,260.3098016
60220249,California,76160,66847,53193,353.9777711
60220259,California,88229,75641,57208,206.9537647
60220269,California,46827,37834,33405,454.7870861
60220279,California,46049,38814,31521,517.4767982
60220289,California,87497,300000,45856,245.9207535
6022029,California,118216,103239,82793,906.7564712
60220299,California,60735,300000,43252,214.0268865
60220309,California,70632,47046,59931,530.8125863
60220319,California,59211,45313,56986,315.2204189
60220329,California,76942,300000,50579,328.5168039
60220339,California,75235,67012,60942,210.2232561
60220349,California,103253,107733,63986,226.3526957
60220359,California,53832,36354,48968,345.9817147
60220369,California,100406,80400,63413,195.7180463
60220379,California,66778,55347,62206,405.0082612
60220389,California,56783,43491,41669,242.7257576
6022039,California,96216,81367,73520,797.1244369
60220399,California,65932,44407,67063,256.5278541
60220409,California,58487,300000,32394,420.5832629
60220419,California,56163,40685,54514,349.4880291
60220429,California,54332,43211,45156,394.0231711
60220439,California,50346,39799,38323,295.72215
60220449,California,67773,50257,55267,329.3459549
60220459,California,114547,110555,69321,145.0243723
60220469,California,79520,64245,58740,363.5137501
60220479,California,102444,89135,65256,175.5226955
60220489,California,83509,60218,66398,218.8904972
6022049,California,91102,68962,70045,827.5959619
60220499,California,101821,81105,65530,342.3149382
60220509,California,52578,40562,43984,828.8449364
60220519,California,51135,38576,37599,316.957066
60220529,California,75922,71599,45104,170.2211915
60220539,California,203910,224262,68202,82.85347222
60220549,California,126988,105769,79341,234.1503024
60220559,California,65269,65037,43703,352.2759145
60220569,California,123326,300000,74261,108.7268675
60220579,California,25129,15052,22741,860.3961425
60220589,California,120250,108609,72614,366.5065482
6022059,California,99706,78212,79644,442.1093661
60220599,California,60849,43461,49372,425.6203312
60220609,California,86246,65316,68537,261.0860609
60220619,California,182565,193463,67193,38.92611636
60220629,California,86486,300000,53855,201.9531167
60220639,California,74240,59181,56407,452.4450924
60220649,California,58123,44570,47515,179.1591911
60220659,California,74473,57001,45472,153.3244201
